Comment,
"(This seems more like a rant instead of actual constructive criticism, but I have no appropriate place to vent and this is the closest thing I can find.)
I am consistently bothered by how my group (and myself to some extent) will not work on anything ahead of time. I am part of the problem due to my poor communication skills, but since Jake has taken on the role of the &quot;voice&quot; of the team, the group will only work on things at the last minute. Jake, as the leading voice, is also not very respectful. I recall an instance where he ignored a valid excuse from a group member for being late on some work, instead telling him to just finish it. Again, this could have been avoided if we decided to work on projects ahead of time. I suppose that I should attempt to make a difference, but my passive personality, pessimistic outlook, and poor people skills make this difficult.
Apologies for name-calling, but I&#39;m quite angry at this point.",
We are getting the stuff we need to get done with reasonable communication and reduced stress.,
my group rox,
The members in my group work diligently and are very cooperative. Team 36 is a good team for completing work.,
"I find that the experience in working with groups is a necessary skill worth developing, but the overall attitude towards, school, projects, and any one of my teammates careers is not taken serious enough. I am not sure why this is the case, but I have already seen the lack of need for quality from the group members and do not know how to turn around this &quot;good enough&quot; attitude. It seems that has actually been the case for every group project while I&#39;ve been in college. I want to produce quality and that takes time, which other group members do not wish to spend. That would mean that I would do everything/almost everything to produce quality and might as well be doing the project alone which defeats the point of a group project. It is not because the time for the group project is not available, but more so of a &quot;get it over with&quot; kind of outlook. I disagree, but I am also outnumbered most of the time. If other group members agree, they do not voice their opinion on the matter which still leaves me stuck with a finished product that does not meet the standards I wanted set from the beginning. It is also frustrating to ask about the project when confused on certain aspects on how to complete certain stages, taking what I learn from asking a T.A. or professor, presenting it to the group on how to proceed, and then being contested by another group member that we go about it a different way. Ultimately, this has wasted a great deal of time that could have been spent on any other task closer to completing the project.",
none,
This is an amazing class and I have had so much fun participating in it. Thank you!,
John E. has only showed up to one of our meetings since the last team evaluation and he didn&#39;t do anything at that meeting. We text him and half the time he responds with &quot;Ok&quot; but doesn&#39;t show up and the other half of the time he doesn&#39;t even respond and doesn&#39;t show up.,
John still does not attend our team meetings.,
"John is not a teammate. He is late to meetings if he shows up. When he misses meetings he does not give a heads up or a why. We are 10 weeks into the semester and he has yet to pass his safety quiz meaning he can&#39;t be part of skills labs he is instead off doing his safety quiz. When he is at meeting he does not do work he is on his phone and listening to music. Shows no interest in what is being done. During skills labs he seems more interested in playing with the NXT as a toy rather than to try to program it. Is on his phone frequently but does not text the group chat often.
Other teammates Kyle, Carson, and Ryan are great. They show up at meetings on time and often early. Are participating in what we are doing and show interest in what&#39;s going on and give ideas how to better our hovercraft. Text back in the group chat. Have passed their safety quizzes and are able to do skills lab that require anything in the EDL. Are paying attention when at meetings and off phones unless using them for anything relating to the hovercraft.",
"John doesn&#39;t respond to texts and he doesn&#39;t do his fair share of work. When he does come to meetings, if he comes, then he won&#39;t do anything but he will just go on his phone and listen to music. He is often a terrible group mate who doesn&#39;t contribute his ideas at all. I sometimes wonder why he was put into our group, since we all have to complete a catme survey about our group mates and whether we want to work a lot of a little and other questions like that. John seems to be the farthest personality away from the rest of us, as he isn&#39;t focused and doesn&#39;t care. Everyone else in my group does their work diligently and always comes to the meetings that we have planned, where they show only their best work.",
Great job picking the teams.,
"Jessica has become a huge problem.  She does none of the work, drops what little responsibility she is asked to complete, and is defensive, vindictive, and downright mean when confronted.  Here are a few examples:
1. She doesn&#39;t do any of the work and then blames the rest of the team for &#39;hogging the project&#39; or &#39;not helping her out&#39; when in fact she never initiated the process for her to contribute.
2. When respectfully confronted about her lack of participation, she resorts to personal attacks, tears, finger-pointing, denial, etc.  (she has personally attacked me on several occasions trying to minimize me and the message I&#39;m trying to deliver)
3. Finally: apart from being disrespectful, vindictive, and lazy she poisons the team atmosphere whenever she&#39;s around.  She never has anything to add, she never takes the initiative to do something that would be useful: she&#39;s at best completely disengaged and unresponsive, at worst she is actively trying to tear the team apart.  She is such a drag on the team that I believe there would have been half the work AND personal stress if we had simply been a three-man team with me, jesus, and zach.  She does not deserve to ride our coattails and should be taken off the team or removed from the class, however I expect that there will be no action from you and she will pass this class with flying colors in spite of her unacceptable behavior.",
"Recently the team has had some conflicts. Gage and Jess had a confrontation regarding Jess missing the deadline for the CO11 Paper Assignment after being repeatedly reminded of the work and assuring us that she could complete and turn in our work on time. She failed and we missed all points due to her procrastination, while Gage was reprimanding her (somewhat harshly but I can understand seeing as he and I took the initiative to being and finish our assigned portions a week in advance) she could not accept the somewhat buy entirely unreasonable criticism and immediately retaliated against Gage in an immature and vindictive manor attacking Gage for not getting his degree and telling him that she wont take advice from him because of that. I immediately called both Gage and Jess seeing as the Group Chat was getting heated and did my best to defuse the altercation. The next confrontation was regarding the percentage of work done while we attended our meeting on Sunday 11/4 to work on Checkpoint 4 Gage felt that Jess did not due 25% of the work and she brought up how she never had the opportunity to do her portion of the assignment (Which is not unreasonable but she never took initiative to participate in the work, evident by her bored and somewhat annoyed attitude during our meeting. Multiple times I saw her and Zachery browsing their phones while Gage and I tried to address the objectives from the Checkpoint. She even tried to leave ahead of everyone else which disappointed me as she clearly feels that our time as a group is an annoyance). I hope that we can leave this behind us and move forward as a team that can be understanding and more forgiving of our members faults.",
Our only issue is that one of our members doesn&rsquo;t put in enough effort compared to everyone else. We haven&rsquo;t confronted him because we aren&rsquo;t sure how to do it properly.,
"I believe that being placed into a different team after the class had started had a negative impact on our performance as a whole. On the first day the teams interacted and set expectations. I was not there to contribute to this critical time period and I feel that my experience and our efficiency as a team may have been better had I been there from the beginning. I know with people dropping the class you have no choice, this is simply my observation.",
The team works really well together. We are able to solve a variety of problems and tasks without worrying about carrying too much individual weight or work per individual.,
n/a,
I like my current team,
The team is great,
N/a,
"not everyone is always at meetings, we have everything finished  for cp4 though, i think that the rushing made people realize it is important",
"Awesome team no extra comments!
",
"We have had a couple of difficult meetings and some communication errors, but overall, we are making our deadlines, doing satisfactory work, and each team member is making a fair contribution. I don&#39;t think any one of us particularly stands out, but as long as the project is getting done, which it is, I don&#39;t have many complaints. The team on the whole is definitely starting to get a little fatigued by the project and the semester on the whole, resulting in reduced enthusiasm. I figure we need another successful checkpoint to give us another boost, and that should come soon. Therefore, I&#39;m satisfied enough, but not &#39;very&#39; satisfied.",
"We are a team of three. Me, Ben, and Juan. We are having no trouble without Derek and have already spoken with staff.",
Derek still hasn&rsquo;t come to any labs and has not coming to a single team meeting besides our very first one. He recently texted and contacted us but after the couple texts he sent he hasn&rsquo;t said a single thing to us again.,
"It would be much more beneficial to team efficiency if future classes will be able to pick teams and have teams that consist of students in other lab sessions. It will be more difficult for professors and TAs to keep track of grades, but it would offer students a chance to form teams with preexisting synergy.
All I&#39;m saying is that I would have liked to pick my own team.",
"Lately, my team members have been contributing more to the project but I still have to create the incentive to do things. Our meetings aren&#39;t started until I get there and I still feel tremendous pressure to lead the team. I have no problem being a leader, I just feel like I have to work extremely hard to my members involved until the ball is rolling and I can ease up a little bit.",
Our team is great and i love working with all of them. ,
Everyone is doing a great job meeting and building despite our varying schedules and different living situations. ,
they good,
"We all contribute; however, Stephanie does the least amount of work outside of meetings. Mikayla does her share but it still isn&#39;t as most as I do. I have been the only one to work on it outside of meeting hours and with my work schedule, it has become a lot more stress on me personally and I am trying my hardest to get this project done but it doesn&#39;t seem that they are as focused on it.",
Everyone works well.,
N/A,
"woot-woot, our hovercraft shall scoot!",
My team is good and we work well together.,
Hello :D,
Contention because there is no assigned leader,
N/A,
I have no comments. ,
We&#39;re making it work.,
"Randal and Julia work very hard, sometimes too hard and get far ahead when they meet so that there is little work for many of us to do. But they are great teammates ",
"None of my teammates do anything except Randall. Whenever they decide to show up to meetings, which is rare, they put on the facade of doing work but never actually do anything. I do not know what to do about it. I have marked them off points in the team journal but that seems to have no affect on them. No one in my team has had previous experience with engineering so it is hard trying to figure out everything solely between Randall and I.",
:),
"My teammate Erick Bandala, is a good worker and does contribute a lot. Although he tends to have a bad attitude every once in a while. He takes it out on the group, but other times he is the opposite. Other than this, everything else is fine.",
"They&rsquo;re better than before and are becoming more engage in the assignments but there are just some problems. Ryan miss many of the meetings and one time he didnt come to the meetings in one week (revising Design report) when we clearly agreed that we have mandatory meetings on Monday and Wednesday. However, he contributed a lot in C011 report with the grammar and clarifying ideas. In Jordan&rsquo;s case, he&rsquo;s always late although he lives in a dorm which prevents us to work on our hovercraft as he keeps the hovercraft materials. On the other hand, Troy is always early and present but I feel like he doesn&rsquo;t read the materials for many of the checkpoint checklists that he always relies on me asking what he can do to help. In the end, im still acting as the leader with no courage to talk about these problems since i don&rsquo;t want to be awkward with the team if i do deduct them (as it will require all members to sign). Fortunately, there are improvements.",
"I think we&#39;re evolving as a group and good work is getting done, it&#39;s just that there&#39;s always a miscellaneous hiccup at each of the Checkpoints so far that messes with us.",
Good team ,
Great team!,
I love my team!,
"My team works very well together, and we plan to strive harder.",
"It seems that the other members work better under pressure. That being said, we will always work most on the hovercraft a day or so prior to the checkpoint. This is due to contrasting schedule of each members. Danyal starts work at noon; Rigo has a work and fraternity meetings and interviews in which makes him often absent or late in the meetings (if the team were stricter in attendance, he would have gotten deducted a lot); Mason and I don&rsquo;t have any extracurricular activities so we often start the meeting by ourselves. We decided not to be strict with the attendance because our schedules barely allows us to meet. Having a strict attendance policy would only make it more complicated and cause more conflict. Despite everything since the last evaluation, everyone worked better with the reports and checkpoints. But, I still believe that we could have done better with the team activities and they could respond to texts regarding meeting times quicker.",
"all good
",
We all really work well together and get along.,
I mostly expect more from myself but the we as a team accomplished a lot,
n/a,
Team works very well together,
Ray Sandusky has been skipping and missing out on this project ever since he started his job. He hasn&#39;t been showing up and when he does he wants to leave early or has an excuse to leave early. He hasn&#39;t been contributing at all and isn&#39;t communicating especially when the team needs it. If we ask where is when he is missing during the meetings he says he was asleep and when he does respond he responds when the meeting is close to being over or when it is over.,
if i had to take this class again i would drop this class immediately. ,
"Ray is currently not doing much in terms of our hovercraft -or any engineering projects for that matter- but I believe he is too far behind to really catch up, so trying to bring him in to our project at this point would be more of a hindrance. The rest of the group is great. ",
It is going very good.,
Everything is going very well so far!,
Calvert has be a pretty good team member but his attitude has gotten pretty bad lately. ,
"While Max has started to pull more weight after his concussion is gone, Devin still does not do to much or respond in our group chat. ",
N/A,
My team has been working great together and I am thankful to have a team as great as they are.,
"It&#39;s more of a four person team instead of five, since that member is almost never there.",
:),
"My teammates are great. We always try to accommodate for each other&#39;s schedules and we are very productive together. IF we fall behind, we always meet up more to try and catch up and we all help each other",
"I enjoy the team members I have, we are able to work efficiently and enjoy each others company ",
I like my team and am very happy i can count on them when needed,
We work well together. It is easier to work in this small group.,
having no problems at the moment,
N/A,
None,
None. Thank you. ,
N/A,
None,
I like my team we work together very good ,
We have no issue getting along and sharing ideas and these are people I could see myself hanging out with.,
Andrew started showing up and contributing a lot to the project. ,
Everything is going great!,
"Some people in my group often do not do their job, making others have to step up and make up for it. Most work done in the group is not evenly shared throughout.",
"Morgan and I have to take control or else nothing gets complete. We have to make sure not only that the others did their work, but that they did it correctly. Oliver helps a good amount, but Morgan and I constantly find ourselves picking up what he slacks on or doesn&#39;t try on. Grace doesn&#39;t really do anything and rarely shows up to meetings. Whenever we count on her for something 80% of the time she doesn&#39;t deliver. I like all of my team members a lot, however, this project has just been extremely stressful for Morgan and I because we have to everything and worry about whether or not the others will do their part. We get low grades on almost everything due to this. I&#39;ve become friends with each of them which is why Morgan and I don&#39;t feel comfortable deducting them on the group point deduction forms. A possible suggestion is that for those point deduction forms to be submitted online individually because I know people in other groups are struggling with similar issues. Overall, however, I think this is an amazing class and I&#39;m really enjoying learning how to build this hovercraft.",
We&#39;ve been doing a really bad job in our checkpoints and I feel that we need to come early to get more points. Our group really needs to get extra points. I really recommend having more activities to gain more extra points.,
"We&#39;ve been really shitty at meeting up and doing quality work, but I know we can approve by being more assertive with one another and communicating better.",
"So far I am very satisfied with the performance of Martin Mata and Philip, they both contribute a lot to the team. as for Shiva and I, Shiva Plans very well but not often enough, so as a result spontaneous group meetings are made, often when i have not planned and i am in other classes or out of town. ",
"Teammates are eager to get the project done an complete assignments, all I can ask for. ",
tyler does nothing and without jace we&#39;d be lost,
I don&#39;t feel as if the best way to do subtracting points to ensure full team work is the way of the subtraction sheets.  It is something that sometimes our group ends up doing together and if I am the one person to say &quot;hey these people should get minus points that&#39;s a very uncomfortable conversation especially in an environment that they don&#39;t see as professional and me bringing that up with further reduce the teamwork that we have.  I am not really sure what solution there could be as they will always see their grade but I do know that with my group members not showing up often and when they do contributing little I definitely have been getting much more out of the class.,
excellent team i have. we all work together well and are an excellent match for one another.,
"My teammates are spectaular. However, once again I believe I am doing significantly LESS work than them. My 300 and 400 level engineering classes prevents me from going to all the meetings and spending quality time on the project.",
Nothing new to add to previous comments. Situation is still the same. ,
All is well. The team gets along and we are working great together.,
"Great team. We are getting along very well. Beside being just a team, we have became really good friends.",
Good team very good team i like,
dab,
Dante may drop out,
They are all super helpful!,
Out team works very well together,
"Team is working good, we&rsquo;re having good progress, we have ran into some obstacles but the team has shown great problem solving skills.",
We all procrastinate and we are always down to the wire but we all always bend over backwards to get it done. I wish my team wasn&#39;t as big of a procrastinator as me but I also am happy with my team.,
"Very displeased with my group.
Roman has stepped up his participation with the group and has made a great effort contributing to the team since last time. Sebastian is doing a good job. Jelliam has done a great job except she did not contribute to the CO11 report at all. She claimed that she was having family issues directly after the report was due. Not sure if that is true or not but wish she would have started earlier or let us know beforehand.
Katie (Katherine) is the least helpful of the group. She does not respond to messages in a timely manner (does not respond to messages within 24 hours), started the CO11 project 40 minutes before it was due and I had to turn it in uncompleted. She was unable to make our last meeting because of mandatory babysitting but said she would start on the CO11 project in which she did not.
I feel pressured to construct the hovercraft myself because of my teams unreliability and lack of engineering sense but I do leave a good amount for the rest of my team to contribute to the hovercraft. All that I ask is for my team to show enthusiasm to and interest in the project.
Unfortunately my team is not very tech savvy nor has much engineering sense which is to be expected. Some of my teammates do try and put effort into the project during meeting which I appreciate.
If you have any questions or need clarification, please contact me at cameron@CCCreno.com.
Kind Regards",
"Roman and Katie will sometimes ignore the group chats when we have important stuff to discuss, and me and Cameron are left to work. Jellium has a job, so she is excused when she tells us she&#39;s working.",
"Roman has improved some on his contribution to the team but still seems to barely do his fair share. I have been a little distant lately because there has been a medical emergency at home so I got home on weekends to take care of my family, but I&#39;m doing what I can to pull my weight while I&#39;m here.",
Tony is a cool guy,
Chris has been slacking a little but it&#39;s no big deal.,
work well together wish we had more times that lined up to meet,
You&#39;re welcome for completing the survey.,
"I have no problems being on this team, we work together effectively and efficiently in order to achieve a common goal.",
We all get along well ,
I am really enjoying this project,
n/a,
A very dynamic team and we work together in a strong fashion. We all compliment each other evenly with a wide range of different skills.,
We are an awesome team!,
We rock.,
We work well together and listen to each others ideas. ,
"We are a great team that work together, and is great to have this experience to have a team for such a long time.",
"Jason is late/forgets meetings that HE scheduled all the dang time. He was a solid hour late for an important meeting for the checkpoint, left us stranded since he had all our stuff, because he slept in and freaking forgot about an appointment that we set the DAY BEFORE.",
None.,
Danny and Andy didnt show up to a multitude of the meetings. And when they would finally show up they would only criticize the work that the others did. They also wouldnt listen to what everyone else has to say. ,
"Thank you for everything
",
Feeling good about it.,
No comment. I have a great team and we work together well.,
"Some teammates don&#39;t put in as much effort as others, however we have improves in working together as a team to get our work done.",
We are a decent team,
My team is pretty good.,
Nope,
"Jazz went out of town and didn&#39;t let us know until the day we met (she said she couldn&#39;t come because of this reason) and she had the fuel cell so we couldn&#39;t gain access to the fuel cell until the next week, when she returned. She made us fall behind.",
"Jazz has been absent for multiple times to both meetings and labs and when she does come, she does sloppy work. In one instance she had our hydrogen fuel cell for a week since she was out of town. She let us know right before she left leaving us with no way of getting the fuel cell.",
"Eddie kinda a dick sometimes, but he works hard. The team is great, we did everything and get along fine",
Great teamwork,
Team is fun to work with,
All good!,
"We still have issues with communication and such as a whole. The work always gets done but it takes a lot of effort since we still sorta don&#39;t have a fifth member. Fernando has now done some work before with reports and such but he still will not be audible to us in most instances. Max is bad with time management. He does try to make up for it but it ultimately leads to being really close to deadlines. Jesse, Adrian and I are as invested in it as we can be with these struggles. I worry that the harder the checkpoints and the further along we go, the less we will achieve.",
"i believe that our team should try to finish checkpoints early rather than turning them in at the last second. There were no wheels left at the EDL so we had to check other stores to see if they had Lego sets that had wheels. I believe that we can make it. However, I&#39;m still worried about not finishing in time.",
..,
"We are starting to work out some of the schedule conflicts we had before, and are currently doing well in coming together and getting work done both evenly and fairly among the team, typically through voluntary efforts from all members to take on specific tasks or parts of tasks, or coming together to work on one task as a whole.",
In all honesty I am rarely able to meet with my team members because I&#39;m not available during the same times but I do my best to do the written work and stuff that can be done from home by myself.,
N/A,
We have a good team.,
"I find it hard to motivate my team to get work done.  They tend to push out projects until the last minute.  Additionally, they don&#39;t work on technical writings and pay attention to detail much.  I have to push for hard deadlines for writing to get done.",
no comments,
We all work well together but we can only meet in the mornings so it is sometimes difficult for everyone to wake up on time. ,
Thanks for putting me with such a great team!!,
I joined this group late after my first team of three split up. I really enjoy all of my partners and feel we get work down in a fun environment.,
"I enjoy the team I am on. We all work together very well and have different strengths and skills that complement one another&#39;s. Because everyone on our team is talented and responsible, we are able to spread the work out evenly and therefore make the workload on the group as a whole easier.",
"Great guys, great team.",
AT this moment the team seems to be heading in a positive direction. The team dynamic is still a bit rough but is smoothing out at this point.,
"For the first assignment that we had to turn in as a group, I had to do all of the work myself. I&#39;ve talked to them about it since then, and things seem to be improving thankfully. ",
"It is very difficult to find meeting times that are convenient for the entire team. Especially because Ryan lives off campus and doesn&#39;t drive, then Oscar recently got a new job that takes up a lot of hours throughout the week and weekends. ",
We have not met Bo Fu,
We work well together and most of the time all show up on time.,
"I texted them all throughout the weekend (including Friday) and there was not a reply until Sunday night at 6pm from one teammate. I ended up doing all the calculations and planned everything else out and had to adjust all of the work that was done prior because everything was wrong. I couldn&#39;t spend the whole night because I have to be up at 5am for ROTC and I cannot be dealing with the whole checkpoint, or ever the whole project, the night before it is due.",
My only complaint is the lack of communication within the group. It&#39;s very stressful when they don&#39;t respond to your texts right away with a deadline coming up. ,
"I feel like I&#39;m doing most of the work in the group.  Ben and Andrew both dropped the class, but Philip and Kristian are somewhat helpful.  For checkpoint 1 I did a large majority of the work.  I did all the calculations, the paragraph for propulsion, and did all the calculations for and selected the batteries.  Philip and Kristian were there while I was doing it, but they didn&#39;t offer much help even when I asked for it.  Philip picked out the fans from the EDL which was helpful and Kristian picked out the deck and had a calculator to help with the calculations, but beyond that they didn&#39;t do that much.  They weren&#39;t very clear on the requirements and I basically had to tell them to do things or they wouldn&#39;t do it.  They aren&#39;t bad teammates, but I wish they would take more initiative in getting the work done.",
"There is a person in our team that we haven&#39;t even met and there was one that is transferring out. But even it is just the three of us, I believe that we are a strong team.",
I am not dissatisfied with my team; we are all respectful of each other and complete our work. I just feel that we have not been able to reach that higher level of interacting as a great team--we&#39;re just an average team right now.,
Sometimes I feel as though my concerns are brushed off instead of addressed. ,
I have never taken an engineering course before and chose to explore engineering this semester through this class. I like the pace the lectures are set at but I feel that I often get left behind during team discussions. I have repeatedly said that I am new to this but I feel that my team expects me to be on their level. They have all taken engineering classes in high school and this is review to them. I want to be able to contribute equally but I am not sure how to do so when my teammates are so far ahead of me,
"I have really strong teammates, particularly Joseph and Mark, who have experience in the activities we are learning, and I am very grateful for them. Personally, everything we are learning are very new to me so sometimes I feel lost. My teammates are very awesome in helping me understand the content, but sometimes I feel bad in the sense that I can&#39;t fully contribute as much as them solely because I don&#39;t have the same level of experience to know how to help more effectively. Overall, I am very satisfied with my group and I am beyond grateful to have them guide me through all of this.     ",
Great group!,
We do good work and we have no problems :),
Overall great team! We are all very social and friendly!,
"We all put an equal amount of work into the project. Some of us are busier than others so some of us aren&#39;t at the group meeting for the whole duration of the group meetings but I ot really bothered by it because like I said, we all put in an equal amount work into the hovercraft.",
"For the most part our group is good. Chad hasn&#39;t showed up to the last couple meetings we&#39;ve had and blames it on his frat plans. Also, when he does show up, he&#39;s on his phone a lot, but he will contribute to the group every once in a while.",
I generally prefer to work on my own rather than in a team. I am satisfied with my teammates but would rather rely on myself and not others.,
hi :),
"Our team is meshing well, work is getting done in time, ideas are being communicated clearly. ",
"At first Sean and I seemed to be trying to complete the first checkpoint by ourselves for the first meeting we had, but once we decided to change the days our team meets then we all contributed fully and we now work together to the best of our abilities. ",
"We did not start on the best of terms, but things have slowly been improving.",
Nothing to complain about. Everything is running smoothly. ,
"N/a
",
I am just very happy with the team that I have. We all communicated with each other well and Dylan is very smart and helpful. I just feel so lucky.,
Everything is going great,
I am very satisfied with my team and have no complaints.,
My team is productive and interactive. We will have a good time contracting a hovercraft together. ,
There wonderful honestly ,
Loving it so far!,
"No issues, they&#39;re all great at collaborating, willing to help, and kind to one another.",
Things have been running pretty smoothly! No big issues so far.,
"Some team mates do way more work that others, it is easy to tell who knows what they are doing and who does not. All team members do what they are asked of generally, so I have no serious complaints. ",
All of my teammates are very capable. I do find the presence of Daniel a bit grating as hes quick disrespectful at times though i know it is not intentional and meant to be that of levity.,
Good team!,
Everyone is working well together and always asking questions.,
"A lot of the issues so far have been showing up to the meeting on time, it has been discussed and hopefully the future meetings are better. The discussion has been good but outside of the discussion only two members have done any work; Ryan the most and Aspen (me) the next most. I think the issues now will work themselves out now that we have a task list and discussed being on time.",
"Warren has not showed any interest in participating in the group projects or being prepared for class. He is excited to be apart of the team however is very distracted when all are working. The only big team player in this group from my point of view is Kolton. Him and are the only ones striving to get a working hovercraft. This is very frustrating when the entire teams knows that him and I are working outside of going to school. If our team was stronger and more focused, we could be submitting better work.",
"I think our team is doing well together so far and we are starting to warm up to eachother more. I am excited to complete the rest of the hovercraft project with my team.
",
"My team&#39;s not too bad, but I wish there was someone with more initiative, because I feel like they just dont care enough, only enough to pass and no more.",
"Jonvis: Great
Justin: Good
Preet: Should come around when programming because he said he knows it very well. ",
"William and Mason are the glue that hold this team together.
",
"I am very impressed with the way my team has come together through adversity, we have become one unstoppable unit on our way to building the best hovercraft the university has ever seen",
I am happy with my team and I am learning a lot about working with other engineers in a respectful manner. ,
"Group is fine, no need for anything
",
Team is great so far,
N/A,
"The only person who I feel doesnt fit with the team is myself. Otherwise, everything is well and accounted for",
"The workload is not divided up very fairly; I feel like Emily and I are the main contributors to each major assignment. However, every member does contribute in some way so it has not been a big issue.",
I enjoy the group that I was put into and also enjoy the diversity within the group. We are starting to build a bond with each other and also building friendships. I am happy to be working with these people and hopefully our friendships can carry over to the future.,
John hasn&#39;t done any work and hasn&#39;t contributed to the team at all. He doesn&#39;t show up to the meetings until we ask where he is and he&#39;s usually 20-30 minutes late. During the meetings he sits on his phone the whole time.,
"Jon doesn&#39;t contribute anything to the group, he&#39;s already missed multiple team meetings and the ones he does come to, he often arrives late and leaves early. He doesn&#39;t do any work while he&#39;s with our group and he just stays on his phone until he gets bored and leaves.",
John Ethiarianmwian does not show up to team meeting on time. Does not talk to teammates about what is needed to be done. Is late without excuse for why he is late when it was agreed upon the time where we would meet. Then leaves after 30 minutes without doing any work. ,
John doesn&rsquo;t do as much as others in our group.,
This isn&#39;t my team soooooooooooooooooooooooooo,
"I would like to say that you guys did a great job picking teams, because I think mine is fantastic.",
I am very happy to be a part of this team. We all work together very well and I believe we are going to have a very successful hovercraft! ,
I noticed that CATme still thinks that Ian and Kevin are on our team. They were never in the class with us.,
"Hey, it seems CATME has me in the wrong team. I&#39;ve been in Team 41 the whole semester, been working with them and meeting with them. I have not once been a part of team 42. I gave perfect reviews just because I&#39;m not going to mess with the scores of a team I&#39;ve never met.",
"Ian and Kevin are not in our group. Group number 42 is Jonathan, Henry, Aj, and Hector. ",
